"Dose","permutation","Waning Rate","95% CI","% at 30 days","% at 90 days","% at 180 days","% at 365 days","Half-life (days)"
"After dose 2","1-1",-0.31,"[-0.36, -0.27]",34.3,24.3,19.5,15.6,9
"After dose 2","4-4",-0.5,"[-0.61, -0.39]",18.2,10.5,7.4,5.2,4
"After dose 2","1-1",-0.26,"[-0.34, -0.19]",41.1,30.9,25.8,21.4,14
"After dose 2","4-4",-0.45,"[-0.58, -0.33]",21.8,13.4,9.8,7.1,5
"After dose 2","1-1",-0.31,"[-0.43, -0.22]",34.3,24.3,19.5,15.6,9
"After dose 2","4-4",-0.5,"[-0.64, -0.37]",18.2,10.5,7.4,5.2,4
"After dose 2","1-1",-0.26,"[-0.39, -0.15]",41.1,30.9,25.8,21.4,14
"After dose 2","4-4",-0.45,"[-0.6, -0.31]",21.8,13.4,9.8,7.1,5
"After dose 2","1-1",-0.31,"[-0.3, -0.19]",34.3,24.3,19.5,15.6,9
"After dose 2","4-4",-0.5,"[-0.55, -0.31]",18.2,10.5,7.4,5.2,4
"After dose 2","1-1",-0.26,"[-0.26, -0.12]",41.1,30.9,25.8,21.4,14
"After dose 2","4-4",-0.45,"[-0.51, -0.25]",21.8,13.4,9.8,7.1,5
"After dose 3","1-1-1",-0.01,"[-0.04, 0.02]",96.2,94.9,94.2,93.4,1.34128650589371e+26
"After dose 3","4-4-1",0.01,"[-0.05, 0.06]",101.9,102.5,102.9,103.2,0
"After dose 3","4-4-4",-0.36,"[-0.43, -0.29]",29.5,19.9,15.5,12.1,7
"After dose 3","1-1-1",-0.01,"[-0.07, 0.03]",95.3,93.8,92.9,92,2.11710851760569e+21
"After dose 3","4-4-1",0,"[-0.07, 0.07]",101,101.3,101.5,101.7,0
"After dose 3","4-4-4",-0.36,"[-0.44, -0.28]",29.3,19.7,15.3,11.9,7
"After dose 3","1-1-1",-0.01,"[-0.1, 0]",96.2,94.9,94.2,93.4,1.34128650589371e+26
"After dose 3","4-4-1",0.01,"[-0.1, 0.03]",101.9,102.5,102.9,103.2,0
"After dose 3","4-4-4",-0.36,"[-0.47, -0.32]",29.5,19.9,15.5,12.1,7
"After dose 3","1-1-1",-0.01,"[-0.1, 0]",95.3,93.8,92.9,92,2.11710851760569e+21
"After dose 3","4-4-1",0,"[-0.1, 0.03]",101,101.3,101.5,101.7,0
"After dose 3","4-4-4",-0.36,"[-0.47, -0.31]",29.3,19.7,15.3,11.9,7
"After dose 3","1-1-1",-0.01,"[-0.09, 0.07]",96.2,94.9,94.2,93.4,1.34128650589371e+26
"After dose 3","4-4-1",0.01,"[-0.1, 0.11]",101.9,102.5,102.9,103.2,0
"After dose 3","4-4-4",-0.36,"[-0.45, -0.25]",29.5,19.9,15.5,12.1,7
"After dose 3","1-1-1",-0.01,"[-0.08, 0.07]",95.3,93.8,92.9,92,2.11710851760569e+21
"After dose 3","4-4-1",0,"[-0.09, 0.1]",101,101.3,101.5,101.7,0
"After dose 3","4-4-4",-0.36,"[-0.46, -0.25]",29.3,19.7,15.3,11.9,7
