"Interval","Phase","Vaccine Series","Slope (log10/day)","Multiplicative Factor per Day","Percent Change per Day","Interpretation","Half-life (days)","N"
"After Dose 3","Early (0-60 days)","1-1-1",-2e-05,0.99996,-0.004,"Decreases by 0% daily",16171,10
"After Dose 3","Middle (61-180 days)","1-1-1",-5e-05,0.99988,-0.012,"Decreases by 0.01% daily",5600.4,133
"After Dose 3","Late (181-365 days)","1-1-1",-8e-05,0.99981,-0.019,"Decreases by 0.02% daily",3676.5,93
"After Dose 3","Overall (0-365 days)","1-1-1",-6e-05,0.99986,-0.014,"Decreases by 0.01% daily",4843.6,236
"After Dose 3","Middle (61-180 days)","4-4-4",-0.00098,0.99776,-0.224,"Decreases by 0.22% daily",308.4,50
"After Dose 3","Late (181-365 days)","4-4-4",0.0016,1.00368,0.368,"Increases by 0.37% daily",NA,26
"After Dose 3","Overall (0-365 days)","4-4-4",7e-04,1.00162,0.162,"Increases by 0.16% daily",NA,77
"After Dose 3","Middle (61-180 days)","4-4-1",0.00013,1.00031,0.031,"Increases by 0.03% daily",NA,46
"After Dose 3","Late (181-365 days)","4-4-1",-0.00045,0.99897,-0.103,"Decreases by 0.1% daily",674.2,21
"After Dose 3","Overall (0-365 days)","4-4-1",-0.00017,0.99962,-0.038,"Decreases by 0.04% daily",1803.3,69
