"Dose","Group","n","male_pct","female_pct","under50_pct","over50_pct","pct_of_total"
"One-dose"," B",1187,26.9,73.1,78.3,21.7,67.8
"One-dose","S",332,23.5,76.5,45.5,54.5,19
"Two-dose"," B-B",1128,26.9,73.1,77.7,22.3,64.4
"Two-dose","1-2",1,100,0,100,0,0.1
"Two-dose","1-66",1,0,100,100,0,0.1
"Two-dose","4-1",2,0,100,50,50,0.1
"Two-dose","S-S",323,23.5,76.5,45.5,54.5,18.4
"Three-dose","B-B-B",855,26.8,73.2,75.4,24.6,48.8
"Three-dose","B-B-S",23,30.4,69.6,73.9,26.1,1.3
"Three-dose","1-66-1",1,0,100,100,0,0.1
"Three-dose","S-S-B",122,23,77,45.1,54.9,7
"Three-dose","S-S-S",159,22.6,77.4,42.1,57.9,9.1
"Total","",1751,28.2,71.8,74,26,100
